Id del anuncio,Título,Tipo de inmueble,Descripción,Dirección,Barrio,Municipio,Distrito,Habitaciones,Baños,Metros cuadrados construidos,Planta,Ascensor (Sí/No),Obra nueva (Sí/No),Piscina (Sí/No),Terraza (Sí/No),Parking (Sí/No),Parking incluido en el precio (Sí/No),Aire acondicionado (Sí/No),Trastero (Sí/No),Jardín (Sí/No),Precio,Grupo
105669957,"Piso en de la Zanfona, 18",Piso,"Re/Max Pisuerga presente en Valladolid desde hace más de 25 años, dispone de este inmueble para su comercialización. Se trata de una Vivienda con Calificación de Protección Oficial VPO"" (necesario cumplir requisitos para acceder a vivienda VPO)   El conjunto consta de piso, plaza de garaje y trastero. Vivienda con TERRAZA, 2 baños, 2 dormitorios, salón y cocina. Zona: Hospital Universitario Río Hortega. Dispone del reportaje para que a golpe de ratón vea: FOTOS, VÍDEO, TOUR VIRTUAL, PLANOS. Adaptado para personas con movilidad reducida. Piso + garaje adaptado + trastero Zonas comunes: Pista de pádel.. . Parcela comunitaria delimitada. Cocina amueblada con todos los electrodomésticos de alta gama, 2 baños amueblados, uno de ellos en suite con bañera, y otro que dispone de ducha con hidromasaje, 2 habitaciones con armarios empotrados vestidos, y salón. La vivienda queda amueblada  Todas las estancias son independientes. Luminoso, paredes lisas y algunas con estucado decorativo, suelo gres, ventanas de aluminio más contraventana correderas, más mosquiteras, puerta de entrada blindada, luces led, puertas de paso madera, calefacción gas natural con caldera comunitaria, agua caliente y fría con contador individual. Dispone de zona de aparcamiento específica para motos y bicicletas en sótano junto a los garajes. Buena comunicación por transporte público con el resto de la ciudad, y acceso fácil a salida por carretera Nacional. Con RE/MAX Pisuerga, ¡como el río! RE/MAX Finance a través de convenios nacionales con las principales entidades bancarias permite que nuestros clientes disfruten de mejores condiciones de financiación del mercado, y además, con la fórmula COMPRA+REFORMA tenemos la posibilidad de sumar los costes de la reforma de la vivienda a la hipoteca de compra. NOTA: Este anuncio no es vinculante, puede contener errores, se muestra a título informativo y no contractual. El texto que se ofrece, junto con fotos y croquis del inmueble, está destinando a su uso como instrumento informativo. No tiene validez jurídica ninguna.""","de la Zanfona, 18",-,Valladolid,Hospital Nuevo,2,2,83,Bajo,Sí,No,No,Sí,Sí,Sí,No,Sí,No,138000,16
105688117,Piso en calle Vega,Piso,"A&M les presenta fantástico piso en Plaza San Andrés junto Plaza España, consta de  hall de entrada, tres habitaciones, salón con terraza cubierta, cocina amueblada con una galería cerrada y un baño completamente reformado hace 7 años, suelos de parqué Calefacción central gas natural individual con contadores individuales. Portal adaptado a personas con minusvalía con 2 ascensores, exterior salón y dormitorio Ubicado en una zona muy céntrica, a solo unos pasos de la calle Mantería, disfrutarás de todas las comodidades a tu alcance.",calle Vega,-,Valladolid,Centro,3,1,103,2,Sí,No,No,Sí,No,No,No,No,No,214000,3
105835488,"Piso en calle Claudio Moyano, 8",Piso,"**¡Oportunidad Única en el Centro de Valladolid! Piso con Plaza de Garaje Incluida** Descubre este magnífico piso en venta en pleno corazón de Valladolid, ofrecido por REMAX Pisuerga, con una trayectoria impecable desde 1998. Con 130 metros cuadrados construidos y 117 útiles, esta vivienda destaca por sus amplias y acogedoras estancias. Al entrar, un recibidor abierto con armario de diseño te da la bienvenida. El salón es amplio y luminoso, ideal para momentos de relax o reuniones familiares. La cocina, equipada con una moderna península y electrodomésticos de alta gama, es perfecta para los amantes de la gastronomía. La calefacción de gas individual garantiza un ambiente cálido durante los meses fríos. Los gastos de comunidad son de solo 80 euros al mes.  El piso cuenta con dos dormitorios con armarios empotrados, y el dormitorio principal incluye un vestidor.  Además, hay un tercer dormitorio que puede ser utilizado como despacho u oficina. Los dos baños completos, uno de ellos con cabina hidromasaje y armarios de obra con dos lavabos, ofrecen un toque de lujo y comodidad. Ubicado en una de las mejores y más tranquilas calles del centro de Valladolid, tendrás todos los servicios a tu alcance. Este edificio, construido en 1974, está adaptado para personas con movilidad reducida y cuenta con ascensor. La orientación sur-este garantiza una excelente iluminación natural. No te preocupes por el aparcamiento, ya que la oferta incluye una plaza de garaje y trastero. ¡No dejes pasar esta oportunidad única de vivir en el centro con todas las comodidades! ¡Contacta con nosotros para más información y para concertar una visita!","calle Claudio Moyano, 8",-,Valladolid,Centro,3,2,130,2,Sí,No,No,No,Sí,Sí,No,Sí,No,451200,7
105510571,"Dúplex en calle Vicente Moliner, 5",Duplex,"¿Eres urbanita? ¿Estás buscando una vivienda diferente, moderna, con espacios abiertos? ¿En el centro de Valladolid? ¡NO BUSQUES MÁS!  ¡ESTA ES TU CASA!  ¡Descubre tu nuevo hogar en el corazón de Valladolid! En plena plaza Fuente Dorada. Este impresionante dúplex te ofrece un estilo de vida moderno y confortable. Remax Pisuerga desde 1998 en Valladolid, te presenta este DÚPLEX. Una vivienda concebida para una forma de vivir diferente, fuera de los cánones habituales de una vivienda estándar. Te invito a que me llames y quedemos para ir a visitarla La Vivienda se desarrollada en: PLANTA INFERIOR Un distribuidor/pasillo, vertebra esta planta. A través del mismo se accede a los diferentes espacios de este nivel. Un salón comedor, integrado y compartiendo el mismo espacio con la cocina amueblada. Una estancia abierta, diferente y moderna. La otra zona de este nivel la constituye un dormitorio, que abre su fachada a una terraza, intima e ideal para crear ese espacio de disfrute. Completa esta planta un baño PLANTA SUPERIOR Desde la planta inferior a través de una moderna escalera, abierta y que constituye un elemento decorativo más de la vivienda, se accede a la planta superior, que se desarrolla en un solo espacio, un amplio dormitorio con baño en suite. Ventanas tipo Velux inundan el espacio de luz natural.  La vivienda es exterior, con vistas a la calle Vicente Moliner y plaza Fuente Dorada. Desde la terraza de la planta baja se puede ver la plaza Cantarranas. ALGUNAS CALDADES DE LA VIVIENDA El dúplex, ubicado en la cuarta planta de un edificio con ascensor, destaca por sus acabados de alta calidad, que aseguran una excelente insonorización y eficiencia energética. La calefacción eléctrica con bomba de calor garantiza tu confort durante todo el año. -Tarima de madera -Puertas lacadas en blanco -Armarios empotrados revestidos -Cocina amueblada -Aplacados de mármol en baños -Ventanas de aluminio con vidrio doble -Calefacción eléctrica con bomba de calor (calor y frio) -Acumuladores  -Sanitarios alta gama -Paredes lisas -Mamparas en ducha y bañera NOTA: Este anuncio no es vinculante, puede contener errores, se muestra a título informativo y no contractual. El texto que se ofrece, junto con fotos y croquis del inmueble, está destinando a su uso como instrumento informativo. No tiene validez jurídica ninguna.","calle Vicente Moliner, 5",-,Valladolid,Centro,2,2,120,4,Sí,No,No,Sí,No,No,No,No,No,339900,3
105713020,Piso en plaza de la Rinconada,Piso,"A&M Les presenta piso en pleno centro de la cuidad en  Plaza la Rinconada, cerca de Plaza poniente. Vivienda de salón independiente y 2 ventanas con vistas a San Benito, 4 dormitorios amplios, cocina amueblada con electrodomésticos casi nuevo y acceso a comedor desde la cocina se accede a la terraza de uso privativo, 2 baños completamente reformados, calefacción central con contadores individuales. La vivienda se vende completamente Amueblado totalmente con muebles de calidad. LA VIVIENDA SE REFORMO HACE 4 AÑOS. La vivienda dispone de trastero.",plaza de la Rinconada,-,Valladolid,Centro,4,2,190,1,Sí,No,No,Sí,No,No,No,Sí,No,450000,3
104772168,Piso en Calle del Monasterio de Nuestra Señora del Henar,Piso,"A&M Consultora Inmobiliaria pone a su disposición esta magnífica vivienda de 3 habitaciones en Villa del Prado. El inmueble consta de 3 habitaciones, 2 baños, gran salón, cocina completamente amueblada(Lavavajillas incluido), 2 plazas de garaje y trastero. Villa del Prado está en el lugar perfecto para vivir: a un paso del Parque de las Contiendas donde vas a tener todo lo que estás buscando para tu futuro hogar. Muy bien cuidada, en el barrio de moda, junto a Las Cortes, la Delegación de Hacienda, Auditorio Miguel Delibes, con fácil salida a la ronda y parada de Bus a la puerta. A cinco minutos andando al Club de Tenis-Padel  Raqueta"". No dudes en informarte y visitarlo, mí nombre es Nacho.""",Calle del Monasterio de Nuestra Señora del Henar,-,Valladolid,Girón - Villa del Prado,3,2,125,-,Sí,No,No,No,Sí,Sí,No,Sí,No,285000,7
103211019,Piso en calle José María Lacort,Piso,"A&M Consultora Inmobiliaria, últimas viviendas y les presenta magnífico piso exterior de 80 m² útiles, distribuidos en salón-comedor, cocina independiente amueblada con electrodomésticos y tendedero, tres dormitorios con armarios empotrados, dos cuartos de baño con mueble bajo lavabo, espejo y mamparas, luces led en pasillo, baños y cocina, calefacción central por aerotermia radiante-refrescante con contador individual, incluye cuarto trastero, edificio sin barreras arquitectónicas y verificado mediante ensayos por Audiotec, confirmando máximos niveles de confort acústico. A estrenar! Magníficas calidades. Ubicado en la Plaza Cruz Verde, y Calle Mantería, en pleno corazón de Valladolid, a dos minutos de la Plaza España y con todos los servicios a su alcance: transporte público, junto al Hospital Sagrado Corazón, y a diez minutos del Hospital Clínico y cercano a la Estación de AVE.",calle José María Lacort,-,Valladolid,Centro,3,2,96,-,Sí,No,No,No,No,No,No,Sí,No,365000,8
105165263,Chalet adosado en calle Compositor Facundo Viña,Chalet,"Agencia inmobiliaria de VALLADOLID zona VALLADOLID - PARQUESOL Oficina Tecnocasa de VALLADOLID TECNOCASA PARQUESOL VENDE: Espectacular chalet de lujo en zona Residencial de Parquesol, en Calle Compositor Facundo de la Viña con un jardín de 90 metros cuadrados. El estado de conservación es ideal, perfecto para poder constituir nuestra vivienda habitual, permitiéndonos vivir en una vivienda unifamiliar amplía en una zona tranquila, en el principal barrio socio-económico de la ciudad de Valladolid. El inmueble se distribuye de la siguiente manera: Planta baja: Porche acristalado previo a la entrada principal de la casa, hall distribuidor (con armario empotrado) que nos da paso a la cocina, salón-comedor y baño completo con plato de ducha. La cocina de un gran tamaño, se encuentra totalmente equipada, con una zona de tendedero-galería acristalada. El salón-comedor de una inmejorable distribución, nos permite el acceso a un jardín de 90 metros cuadrados, dividido en dos zonas, ajardinada y enlosada. En la primera planta, un hall da acceso a 3 habitaciones espaciosas y luminosas, TODAS con armario empotrados. La habitación principal dispone de baño en suite. En esta planta tendremos a mayores un cuarto de baño con bañera. Buhardilla: en la última planta tendremos una zona diáfana, donde podremos equiparla como habitación o zona de despacho. Las zonas más bajas en las que se nota más la inclinación del tejado, se han hecho armario empotrados, para aumentar la capacidad de almacenaje. Las ventanas de velux, nos permiten gozar de una gran luminosidad. Planta Sótano: Estancia muy amplía con capacidad para dos coches amplios. Varios vecinos del conjunto residencial han modificado esta zona, y han hecho zona de merendero o bodega, manteniendo espacio para el garaje. VIVIENDA ESPECTACULAR, MEJOR VER EN PERSONA TECNOCASA: MÁS DE 30 AÑOS REALIZANDO SUEÑOS. FINANCIACIÓN DE HASTA EL 100%. SI QUIERE CONCERTAR UNA VISITA PONGASE EN CONTACTO CON NOSOTROS. MEJOR VER. TECNOCASA, Red Inmobiliaria líder en el sector con más de 30 años de experiencia, presente en más de 12 países, con más de 950 oficinas a nivel nacional y 14 oficinas en Valladolid. Realizamos valoraciones de su hogar totalmente gratuitas, gestionamos el proceso de postventa (tanto para comprador como para el vendedor), además, les daremos toda la información que necesiten sobre hipotecas, les ayudaremos a tramitar herencias, certificados, cambios de titularidad, plusvalías, permiso de venta, etc. Contamos con la colaboración del departamento de financiación de KÍRON, su experto intermediario que le asesorará gratuitamente sin ningún compromiso. Nuestros servicios: -Hipoteca 'primera vivienda'. -Hipoteca 'cambio de vivienda'. -Hipoteca 100%. Disponemos de las mejores viviendas del mercado. NO DUDE EN VISITARNOS. Calle Profesor Adolfo Miaja de la Muela 16, local 7.",calle Compositor Facundo Viña,-,Valladolid,Parquesol,3,3,174,-,No,No,No,No,No,No,No,No,Sí,284900,9
98908705,Chalet adosado en calle del Espigüete,Chalet,"Extraordinaria vivienda unifamiliar adosada y pisos en Pinar de Jalón a estrenar, desde 2 dormitorios entrega para verano y primavera. LLAMENOS PARA CONCERTAR CITA! De diseño moderno y funcional. Distribuida en dos plantas. La planta baja distribuida en salón-comedor, cocina, un dormitorio y un baño, plaza de garaje cubierta, jardín delantero de 20 metros y trasero de 31 metros. La primera planta cuenta con dormitorio principal con baño completo en suite, dos dormitorios dobles, un cuarto de baño común, con dos terrazas. Calidades de primera, aerotermia suelo radiante-refrigerante con termostatos independientes en dormitorios, salón y cocina, preinstalación de placas solares fotovoltaicas, preinstalación de chimenea en salón y dormitorio principal. Buenas vistas al canal. Calificación energética A.",calle del Espigüete,-,Valladolid,Arcas Reales - Pinar del Jalón,4,3,163,-,No,No,No,Sí,Sí,Sí,No,No,Sí,298000,13
104178553,Piso en calle de Manuel Azaña,Piso,"A&M Consultora Inmobiliaria les presenta precioso piso, a estrenar en la calle Manuel Azaña de Valladolid. Dispone de salón con cocina americana, tres dormitorios, dos cuartos de baño con plato de ducha y lavabo encastrado en mueble. Con plaza de garaje en el mismo edificio. Excelentes calidades. Calefacción por aerotermia, suelo radiante-refrescante. Ubicada en el Barrio de Parquesol, con todos los servicios a su alcance. Visítelo sin compromiso!",calle de Manuel Azaña,-,Valladolid,Parquesol,3,2,105,1,Sí,No,No,No,Sí,Sí,No,No,No,195000,7
