Municipio Valladolid (Sí/No),Habitaciones,Baños,Metros cuadrados construidos,Ascensor (Sí/No),Obra nueva (Sí/No),Piscina (Sí/No),Terraza (Sí/No),Parking (Sí/No),Aire acondicionado (Sí/No),Jardín (Sí/No),Precio
1.0,0.09090909090909091,0.2,0.016570424303288978,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.07573964497041419
1.0,0.1818181818181818,0.1,0.021591765001255335,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.12071005917159763
1.0,0.1818181818181818,0.2,0.02837057494350992,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2610650887573965
1.0,0.09090909090909091,0.2,0.025859904594526736,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19520710059171595
1.0,0.2727272727272727,0.2,0.04343459703740899,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2603550295857988
1.0,0.1818181818181818,0.2,0.027115239769018327,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.16272189349112423
1.0,0.1818181818181818,0.2,0.01983429575696711,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21005917159763313
1.0,0.1818181818181818,0.30000000000000004,0.039417524479035904,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1626627218934911
1.0,0.2727272727272727,0.30000000000000004,0.03665578709515441,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.17041420118343192
1.0,0.1818181818181818,0.2,0.02209389907105197,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.10946745562130177
1.0,0.1818181818181818,0.2,0.01883002761737384,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.15088757396449703
1.0,0.2727272727272727,0.30000000000000004,0.050966608084358524,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.215992899408284
1.0,0.2727272727272727,0.2,0.02435350238513683,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14792899408284022
1.0,0.2727272727272727,0.2,0.02209389907105197,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09408284023668638
1.0,0.2727272727272727,0.1,0.019332161687170474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0621301775147929
1.0,0.09090909090909091,0.1,0.01782575947778057,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07988165680473372
1.0,0.1818181818181818,0.2,0.0253577705247301,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0946153846153846
1.0,0.1818181818181818,0.2,0.03565151895556114,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22189349112426032
1.0,0.2727272727272727,0.2,0.024102435350238517,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.10355029585798815
1.0,0.2727272727272727,0.30000000000000004,0.03891539040923927,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.17745562130177514
1.0,0.1818181818181818,0.30000000000000004,0.026613105699221692,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.31952662721893493
1.0,0.1818181818181818,0.2,0.03891539040923927,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.17455621301775145
1.0,0.1818181818181818,0.2,0.028872709013306554,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.22485207100591714
1.0,0.09090909090909091,0.2,0.02636203866432337,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.09644970414201183
1.0,0.09090909090909091,0.2,0.01280441877981421,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.136094674556213
1.0,0.1818181818181818,0.2,0.03288978157167964,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1023076923076923
1.0,0.36363636363636365,0.4,0.08611599297012301,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.27041420118343196
1.0,0.09090909090909091,0.1,0.011549083605322622,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07243786982248519
1.0,0.1818181818181818,0.2,0.027868440873713284,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.21893491124260353
1.0,0.2727272727272727,0.2,0.03690685413005273,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12366863905325443
1.0,0.1818181818181818,0.2,0.019583228722068795,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.10650295857988165
